recipeid,title,description,ingredients,directions,category,dietaryrestrictions,minutestocomplete,photopath,authorid,authorname,datecreated,likes
38,Fluffy Buttermilk Pancakes,Classic fluffy pancakes perfect for a weekend breakfast.,"[""flour"",""buttermilk"",""eggs"",""baking powder"",""butter""]","[""In a large mixing bowl, whisk together the flour, sugar, baking powder, baking soda, and salt."",""In a separate bowl, whisk the buttermilk, eggs, and melted butter until smooth."",""Pour the wet ingredients into the dry mixture and gently fold until just combined. Do not overmix; some lumps are fine."",""Heat a lightly buttered or oiled skillet over medium heat."",""Scoop 1/4 cup of batter onto the skillet for each pancake."",""Cook until bubbles form on the surface and the edges look set, about 2-3 minutes."",""Flip and cook the other side until golden brown, 1-2 minutes more."",""Serve warm with maple syrup, fruit, or powdered sugar.""]",breakfast,"[""dairy"",""gluten""]",25,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/b7f7f9b1-5ce7-4a7c-a66a-e07f119048f7_fluffy_pancakes.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:35.679345+00,0
39,Veggie Omelette,"Egg omelette loaded with peppers, onions, and spinach.","[""eggs"",""bell peppers"",""onion"",""spinach"",""cheese""]","[""Dice the bell peppers, onions, and spinach. If using cheese, grate it and set aside."",""Heat a non-stick skillet over medium heat and drizzle with a small amount of oil."",""Sauté the vegetables for 3-4 minutes until softened. Transfer to a plate."",""In a bowl, whisk together the eggs, salt, and pepper until fully combined."",""Pour the eggs into the skillet and tilt the pan to spread the mixture evenly."",""As the eggs begin to set, gently push the edges inward with a spatula, allowing uncooked egg to flow outward."",""Add the sautéed vegetables (and cheese if using) to one half of the omelette."",""Fold the omelette in half and cook for another 1-2 minutes until fully set."",""Slide onto a plate and serve hot.""]",breakfast,"[""dairy""]",20,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/a6fe212b-9b31-4d1a-a83d-ee4ca39d87f0_veggie_omelette.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:37.120953+00,0
40,Grilled Chicken Salad,"Light salad with grilled chicken, mixed greens, and vinaigrette.","[""chicken breast"",""mixed greens"",""tomatoes"",""vinaigrette""]","[""Season the chicken breast on both sides with salt, pepper, and a drizzle of olive oil."",""Heat a grill pan or outdoor grill over medium-high heat."",""Cook the chicken for 5-7 minutes per side, or until the internal temperature reaches 165°F (74°C)."",""Let the chicken rest for 5 minutes, then slice thinly."",""Rinse and dry the mixed greens, then place them in a large serving bowl."",""Add sliced tomatoes, cucumbers, or any additional vegetables you prefer."",""Top the salad with the sliced chicken."",""Drizzle with vinaigrette and toss gently before serving.""]",lunch,[],30,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/95026545-1faa-42e6-9a46-4fe96fdc463b_grilled_chicken_salad.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:37.947769+00,0
41,Caprese Sandwich,"Mozzarella, tomato, and basil on toasted ciabatta.","[""ciabatta"",""mozzarella"",""tomato"",""basil"",""olive oil""]","[""Slice the ciabatta roll in half and lightly drizzle each side with olive oil."",""Layer fresh mozzarella slices evenly across the bottom half of the bread."",""Add tomato slices on top of the cheese, followed by fresh basil leaves."",""Sprinkle with a pinch of salt and black pepper."",""Close the sandwich, pressing gently."",""Optional: Toast the sandwich on a panini press or skillet for 2-3 minutes until warm and lightly crisp."",""Slice in half and serve immediately.""]",lunch,"[""dairy"",""gluten"",""vegetarian""]",15,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/eb12c9d3-ae0d-4dd3-94c6-6cdd2f4d994a_caprese_sandwich.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:38.661837+00,0
42,Lemon Garlic Salmon,"Baked salmon fillets with lemon, garlic, and herbs.","[""salmon"",""lemon"",""garlic"",""olive oil"",""parsley""]","[""Preheat the oven to 400°F (205°C). Line a baking sheet with foil."",""Place the salmon fillets on the sheet and pat dry with a paper towel."",""In a small bowl, combine minced garlic, olive oil, lemon juice, salt, and pepper."",""Brush the mixture evenly over the salmon."",""Lay lemon slices over the fillets and sprinkle with fresh parsley."",""Bake for 12-15 minutes, or until the salmon flakes easily with a fork."",""Remove from the oven and serve warm with an extra squeeze of lemon.""]",dinner,"[""fish""]",30,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/c40cc9bb-35c9-4a8d-abf5-eee56d6e51f0_lemon_garlic_salmon.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:39.347955+00,0
43,Creamy Tomato Pasta,Pasta in a creamy tomato sauce with parmesan.,"[""pasta"",""tomato sauce"",""cream"",""parmesan"",""garlic""]","[""Bring a large pot of salted water to a boil and cook the pasta according to package instructions. Reserve 1/2 cup of pasta water."",""In a saucepan, heat olive oil over medium heat and sauté minced garlic until fragrant, about 1 minute."",""Stir in the tomato sauce and let it simmer for 3-4 minutes."",""Add the heavy cream and stir until the sauce turns a light orange color."",""Sprinkle in Parmesan and stir until melted and smooth."",""Fold in the cooked pasta, adding a splash of reserved pasta water if needed to loosen."",""Season with salt, pepper, and Italian herbs to taste."",""Serve warm with extra Parmesan on top.""]",dinner,"[""dairy"",""gluten""]",25,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/12854a0b-2cbe-42c3-8e2f-722acbca0b17_creamy_tomato_pasta.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:39.963604+00,0
44,Chocolate Fudge Brownies,"Rich, fudgy brownies with crackly tops.","[""flour"",""cocoa powder"",""butter"",""sugar"",""eggs""]","[""Preheat oven to 350°F (175°C). Grease an 8x8-inch baking pan or line with parchment paper."",""In a saucepan, melt butter and cocoa powder together over low heat, stirring until smooth."",""Remove from heat and whisk in sugar until well combined."",""Stir in eggs one at a time, mixing thoroughly after each addition."",""Fold in flour and salt, mixing only until incorporated—do not overmix."",""Pour the batter into the prepared pan and smooth the top."",""Bake for 22-28 minutes, or until a toothpick inserted in the center comes out with moist crumbs."",""Cool completely before slicing for clean edges.""]",dessert,"[""dairy"",""gluten""]",45,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/c7d9013e-7ff7-48d3-92ef-40115e9b536c_chocolate_fudge_brownies.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:40.87743+00,0
45,Classic Cheesecake,Creamy baked cheesecake on a graham cracker crust.,"[""cream cheese"",""sugar"",""eggs"",""graham crackers"",""butter""]","[""Preheat oven to 325°F (165°C). Wrap the outside of a springform pan with foil."",""Crush graham crackers and mix with melted butter and sugar to form a crust."",""Press the mixture firmly into the bottom of the pan."",""In a large bowl, beat softened cream cheese until smooth."",""Add sugar, sour cream, and vanilla; beat until fully incorporated."",""Mix in eggs one at a time, blending gently to avoid overmixing."",""Pour the filling into the crust."",""Place the pan in a water bath and bake for 60-75 minutes until the center jiggles slightly."",""Turn off oven and let cheesecake cool inside with the door cracked for 1 hour."",""Chill for at least 4 hours before serving.""]",dessert,"[""dairy"",""gluten""]",90,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/bc8378eb-8eea-4b3e-a538-3d2f458addcb_classic_cheesecake.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:41.276835+00,0
46,Vegan Buddha Bowl,"Quinoa bowl with roasted veggies, chickpeas, and tahini sauce.","[""quinoa"",""chickpeas"",""sweet potato"",""broccoli"",""tahini""]","[""Preheat oven to 400°F (205°C). Chop sweet potatoes and broccoli into bite-sized pieces."",""Toss vegetables with olive oil, salt, and pepper, then spread onto a baking sheet."",""Roast for 20-25 minutes, flipping halfway through."",""Meanwhile, cook quinoa according to package instructions."",""Drain and rinse chickpeas, then season with paprika, salt, and garlic powder."",""Assemble the bowl: quinoa on the bottom, topped with roasted vegetables and chickpeas."",""Whisk together tahini, lemon juice, and water to make a drizzleable sauce."",""Pour sauce over the bowl and serve warm.""]",vegan,"[""vegan"",""vegetarian""]",40,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/0c638da0-c8a0-4493-9c93-c2ebd6085efd_vegan_buddha_bowl.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:42.212973+00,0
47,Lentil Curry,Hearty vegan lentil curry with coconut milk.,"[""lentils"",""coconut milk"",""onion"",""garlic"",""curry powder""]","[""Rinse the lentils thoroughly under running water."",""Heat oil in a pot and sauté chopped onion, garlic, and ginger for 3-4 minutes."",""Stir in curry powder and toast briefly until fragrant."",""Add lentils, vegetable broth, and coconut milk."",""Bring to a simmer, then reduce heat and cook for 20-25 minutes until lentils are tender."",""Season with salt, pepper, and lime juice."",""Serve over rice or with warm naan.""]",vegan,"[""vegan"",""vegetarian""]",50,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/386a0cc0-bd85-43b3-88a5-e46faae56bf0_lentil_curry.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:42.933897+00,0
48,Peanut Butter Energy Bites,No-bake oats and peanut butter snack balls.,"[""oats"",""peanut butter"",""honey"",""chia seeds""]","[""In a mixing bowl, combine oats, peanut butter, honey, and chia seeds."",""Stir until all ingredients are evenly incorporated."",""If mixture feels too dry, add a teaspoon of water; if too sticky, add a bit more oats."",""Scoop tablespoon-sized portions and roll into balls."",""Place on a plate and chill in the refrigerator for at least 20 minutes."",""Store in an airtight container for up to one week.""]",snack,"[""peanuts"",""gluten""]",15,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/98375407-eadb-4221-bed5-4bfe71c4913b_peanut_butter_energy_bites.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:43.544095+00,0
49,Veggie Hummus Platter,Fresh veggies served with creamy hummus.,"[""carrots"",""cucumber"",""bell peppers"",""hummus""]","[""Wash and slice vegetables into uniform sticks or bite-sized pieces."",""Arrange carrots, cucumbers, and bell peppers neatly on a serving plate."",""Spoon hummus into a bowl and drizzle with olive oil and paprika if desired."",""Place the hummus bowl in the center of the platter."",""Serve immediately or refrigerate until ready to enjoy.""]",snack,"[""vegan"",""vegetarian""]",10,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/a39fed4b-9acc-40d2-a84c-d08a132bc98f_veggie_hummus_platter.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:44.320852+00,0
50,Iced Matcha Latte,Refreshing iced matcha latte with oat milk.,"[""matcha powder"",""oat milk"",""ice"",""sweetener""]","[""In a small bowl, sift matcha powder to remove any clumps."",""Add 2-3 tablespoons of warm water and whisk vigorously in a zig-zag motion until frothy."",""Fill a glass with ice cubes."",""Pour oat milk over the ice."",""Slowly pour the matcha mixture on top to create a layered effect."",""Sweeten to taste and stir before drinking.""]",drink,"[""vegan"",""vegetarian""]",5,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/74c27044-2286-4ac3-b74e-1fa1ac79e065_iced_matcha_latte.jpg,97c33e9b-e74d-425b-8700-b7aa20ff9da7,sarah_test,2025-11-17 20:33:44.876097+00,0
51,Strawberry Smoothie,"Fruit smoothie with strawberries, banana, and yogurt.","[""strawberries"",""banana"",""yogurt"",""milk""]","[""Wash and hull the strawberries."",""Add strawberries, banana, yogurt, and milk to a blender."",""Blend on high until completely smooth."",""Taste and add honey or extra milk as needed to adjust sweetness and thickness."",""Pour into a chilled glass and serve immediately.""]",drink,"[""dairy""]",5,https://nxzaxhgyzapnnqcfjxpn.supabase.co/storage/v1/object/public/recipe_images/1295c002-9080-4a91-8a25-5b92fe2954e1_strawberry_smoothie.jpg,fce74316-e465-412b-8e57-8ff7cbd72d3d,test_kadee,2025-11-17 20:33:45.497206+00,0